Metabolite_names,Symtoms
"LysoPE(20:4(8Z,11Z,14Z,17Z)/0:0)",LPE(20:4)
LysoPE(22:6),LPE(22:6)
LysoPI(16:0/0:0),1-Palmitoylglycerophosphoinositol
LysoPI(18:0/0:0),1-Stearoylglycerophosphoinositol
"LysoPI(20:4(5Z,8Z,11Z,14Z)/0:0)",1-Arachidonoylglycerophosphoinositol
Malic acid,Malate
Malic acid,L-Malic Acid
Malonic acid,Malonate
Mannose,D-Mannose
Methyl Arachidonate,Arachidonic Acid Methyl Ester
Methylimidazoleacetic acid,1-Methyl-4-Imidazoleacetic Acid
Methylmalonic acid,Isosuccinate
MG(0:0/16:0/0:0),2-Monopalmitin
MG(0:0/16:0/0:0),2-Palmitoylglycerol
MG(16:0/0:0/0:0),1-Monopalmitin
MG(18:0/0:0/0:0),1-Stearoyl-Rac-Glycerol
MHPG,Methoxyhydroxyphenylethylglycol
MHPG,3-Methoxy-4-hydroxyphenylglycol
MHPG,MOPEG
MHPG,Vanylglycol
MHPG,3-Methoxy-4-Hydroxyphenylethylglycol
MHPG-SO4,3-Methoxy-4-hydroxyphenylethyleneglycol sulfate
myo-Inositol,Inositol
Myristic acid,Tetradecanoic Acid
NAA,N-Acetyl-L-aspartic acid
N-Acetylglucosamine,N-Acetyl-Glucosamine
N-Acetylglutamine,N-Acetyl-L-Glutamine
N-Acetyl-L-aspartic acid,N-Acetylaspartate
N-Acetyl-L-aspartic acid,N-Acetyl-aspartic acid
N-Acetyl-L-aspartic acid,N-Acetyl Aspartate
N-Acetylleucine,N-Acetyl-L-Leucine
N-Acetyl-L-Glutamic Acid,N-Acetylglutamic Acid
N-Acetyl-L-Ornithine,N-Acetyl-Ornithine
N-Acetyl-L-Tyrosine,N-Acetyltyrosine
N-Acetyl-Putrescine,N-Acetylputrescine
N-Acetyltryptophan,N-Acetyl-Tryptophan
NAD,beta-nicotinamide adenine dinucleotide
NAD,NAD+
NE,Norepinephrine
Niacinamide,Nicotinamide
N-Methylhydantoin,1-Methylhydantoin
O-Phosphoethanolamine,2-Aminoethyl dihydrogen phosphate
O-Phosphoethanolamine,Ethanolamine phosphate
O-Phosphoethanolamine,O-phosphorylethanolamine
O-Phosphoethanolamine,Phosphoethanolamine
O-Phosphoethanolamine,Phosphorylethanolamine
Ornithine,L-Ornithine
Ornithine,D-Ornithine
Orotic acid,Orotate
Oxoadipic acid,2-Oxoadipic Acid
Oxoglutaric acid,Alpha-Ketoglutaric Acid
Oxoglutaric acid,2-Oxoglutaric Acid
Oxoglutaric acid,2-Oxoglutarate
Oxoglutaric acid,Alpha-Oxoglutarate
Oxoglutaric acid,Alpha-Ketoglutarate
Palmitic acid,Palmitate
Palmitic acid,Hexadecanoic Acid
Palmitic acid,Palmitate (16:0)
Palmitoylcarnitine,L-Palmitoylcarnitine
Palmitoylcarnitine,Palmitoyl-L-Carnitine
Palmitoylethanolamide,Palmitoyl Ethanolamide
PC(18:0/22:6),1-Stearoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine
PC(18:1(9Z)/14:0),1-Oleoyl-2-Myristoyl-Sn-Glycero-3-Phosphocholine
"PC(O-16:0/20:3(8Z,11Z,14Z))",1-O-Hexadecyl-2-O-Dihomogammalinolenoylglycero-3-Phosphocholine
p-Cresol glucuronide,P-Cresyl Glucuronide
p-Cresol sulfate,P-Cresyl Sulfate
Phenylacetylglycine,Phenaceturic Acid
Phosphocholine,Phosphorylcholine
Phosphocreatine,Creatine Phosphate
Phosphorylcholine,Choline Phosphate
Phosphoserine,O-Phosphoserine
Pipecolic acid,L-Pipecolic Acid
Proline betaine,Stachydrine
Propionic acid,Propanoic Acid
Prostaglandin A1,PGA1
Prostaglandin A2,PGA2
Prostaglandin E2,Prostaglandin E
Prostaglandin E2,PGE2
Prostaglandin F2α,(+)-Prostaglandin F2 Alpha
Prostaglandin F2α,Prostaglandin F2alpha
Prostaglandin I2,PGI2
Protocatechuic acid,Protocatechoic Acid
Putrescine,"1,4-Diaminobutane"
Pyroglutamic acid,L-Pyroglutamic acid
Pyroglutamic acid,Oxoproline
Pyroglutamic acid,Pyroglutamate
Pyroglutamic acid,Pyrrolidonecarboxylic acid
QA,Quinolinic Acid
Salicyluric acid,2-Hydroxyhippuric Acid
SCFA,Short Chain Fatty Acid
Serotonin,5-HT
Serotonin,5-hydroxytryptamine
Serotonin,Serotonine
Sorbitol,D-Glucitol
Sphingosine,Sphingosine(d18:1)
Stearic acid,Octadecanoic Acid
Suberic acid,Suberate
Succinic acid,Succinate
Succinic acid,Butanedioic Acid
Succinyladenosine,Succinoadenosine
Succinyladenosine,N6-Succinyl Adenosine
Taurocholic acid,Taurocholate
Threonic acid,Threonate
Thromboxane A2,TXA2
Thromboxane A3,TXA3
Thromboxane B2,TXB2
Thromboxane B3,TXB3
Tiglylcarnitine,Tiglyl Carnitine
Trimethylamine N-oxide,TMAO
Trimethylamine N-oxide,Trimethylamine-N-oxide
Trimethylamine N-oxide,Trimethylamine oxide
Trimethylamine N-oxide,Trimetlylamine Oxide
Tyrosyl-Alanine,Tyrosylalanine
Tyrosyl-Glutamate,Tyr-Glu
Undecylenic acid,10-Undecenoic Acid
Uridine diphosphate glucose,Uridine Diphosphate-Glucose
Uridine diphosphate glucose,Udp-D-Glucose
Uridine diphosphate-N-acetylglucosamine,Udp-N-Acetyl-Glucosamine
Uridine diphosphate-N-acetylglucosamine,Udp-N-Acetylglucosamine
Urocanic acid,Urocanate
Valeric acid,Pentanoic acid
Valeric acid,Valerate
Valeric acid,Valerianate
Valylalanine,Val-Ala
Vanillylmandelic acid,3-Methoxy-4-Hydroxymandelic Acid
Vanillylmandelic acid,Vanillylmandellic Acid
Vitamin D3 sulfate,Vitamin D3 Sulfoconjugate
